"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 04 20:34:53 BRT 2025","Tue Feb 04 20:34:54 BRT 2025","367","","tests.Usuarios","","tests.Usuarios","testExcluirUsuarioCriado","testExcluirUsuarioCriado()",""
"passed","Tue Feb 04 20:34:52 BRT 2025","Tue Feb 04 20:34:53 BRT 2025","441","","tests.Usuarios","","tests.Usuarios","testCadastrarUsuario","Endpoints Para Cadastro de Usuario",""
"passed","Tue Feb 04 20:34:53 BRT 2025","Tue Feb 04 20:34:53 BRT 2025","390","","tests.Usuarios","","tests.Usuarios","testBuscarUsuarioCriado","testBuscarUsuarioCriado()",""
